trigram phrase,frequency
there is any,3
are a good,3
anointest my head,3
the pain i've,3
been a lot,3
i never wanted,3
to say first,3
the ones that,3
and everybody i,3
support i love,3
for forgiveness i,3
don't know how,3
there is not,3
just wanted to,3
about what i,3
i will dwell,3
did not murder,3
watch out for,3
that i didn't,3
you and your,3
of your daughter,3
not do it,3
to ask for,3
we know that,3
you that i,3
heart and soul,3
to kill your,3
for being my,3
and mercy shall,3
out there that,3
guys on death,3
for a crime,3
i'm ready i,3
peace i love,3
the robinson family,3
else to say,3
hope to see,3
shown me and,3
never wanted to,3
family i have,3
i done i,3
our freedom and,3
and friends for,3
of the few,3
too i love,3
for all those,3
to the world,3
like we use,3
you will always,3
the strength that,3
i want y'all,3
at peace we,3
in christ jesus,3
my brothers on,3
at peace i,3
and to all,3
jesus take me,3
rights give me,3
mother i love,3
take care and,3
you all thank,3
through the years,3
other side okay,3
family and all,3
around the world,3
i know how,3
be in heaven,3
not kill bobby,3
the loss of,3
life and my,3
god is the,3
back i would,3
i confess my,3
me there is,3
be thy name,3
i am an,3
that i caused,3
needs to be,3
and ever amen,3
it is not,3
for you to,3
ones that are,3
to say but,3
you peace and,3
my son and,3
sorry and to,3
you my love,3
you have my,3
all for being,3
cup runneth over,3
her for everything,3
know that i'm,3
to get my,3
you god i,3
love to everybody,3
god i am,3
and for all,3
thanks for the,3
love you man,3
for the things,3
i really am,3
mama i love,3
kill bobby lambert,3
the house of,3
pray that you,3
you again i,3
one day we,3
for being with,3
i can't change,3
you so much,3
for each other,3
years i would,3
know what you,3
going to heaven,3
warden i just,3
am fine i,3
by me i,3
i never knew,3
that you forgive,3
you peace i,3
gain our freedom,3
told me to,3
time to move,3
how sorry i,3
out to be,3
didn't kill your,3
from allah we,3
god for the,3
out there i,3
is just a,3
i'll be there,3
take it back,3
god i love,3
loved ones and,3
i got my,3
my mom i,3
support and all,3
i thank all,3
will see y'all,3
our trespasses as,3
to thank everybody,3
sister i love,3
and suffering that,3
you know the,3
what else to,3
that i do,3
jesus i am,3
is a good,3
days of my,3
know how it,3
to allah the,3
been the best,3
it will be,3
the way i,3
in church and,3
to love and,3
who trespass against,3
bless you i,3
to be there,3
strong for me,3
years i am,3
to the people,3
love you stay,3
mom and dad,3
go back and,3
me through all,3
always returns to,3
i can only,3
my cup runneth,3
i love the,3
the family and,3
all forgive me,3
we use to,3
me all the,3
not be able,3
presence of mine,3
that is something,3
your support i,3
i am alright,3
of the family,3
and sorrow i,3
holy holy merciful,3
you through this,3
can you hear,3
i pray you,3
you all have,3
i bear witness,3
lot of pain,3
got to go,3
i am the,3
had to go,3
he has done,3
you hear me,3
you all you,3
can taste it,3
love y'all i,3
have come to,3
support you have,3
dwell in the,3
i can't take,3
and forgive me,3
set me free,3
am sorry that's,3
want to express,3
heart i am,3
to my wife,3
my life you,3
for the time,3
that in some,3
to talk to,3
you i'm ready,3
it but i,3
saying i want,3
love you you,3
jesus thank you,3
want to be,3
care of each,3
been a blessing,3
i ask god,3
for forgiveness for,3
feel sorry for,3
my mom that,3
me that i,3
thats all i,3
man that is,3
am ready yes,3
forgive me i'm,3
is what i,3
in the same,3
i feel it,3
merciful and mighty,3
always be with,3
up in the,3
to them i,3
to be here,3
would have killed,3
trespass against us,3
sake yea though,3
mean i know,3
commit my spirit,3
you god bless,3
is happening to,3
pray and ask,3
i love everyone,3
you i would,3
in the back,3
want everyone to,3
i also want,3
because this is,3
and that is,3
for everything you,3
i'm not going,3
i love and,3
and support and,3
it i love,3
what it is,3
love i am,3
that they are,3
everybody i am,3
say to my,3
home i am,3
hope it helps,3
that i will,3
family i would,3
may god have,3
me but i,3
you don't need,3
for being a,3
i want the,3
sorry i hope,3
glad it didn't,3
find the peace,3
can't i hope,3
me as i,3
i really do,3
of mine enemies,3
mean to hurt,3
with you in,3
i am fine,3
happening to me,3
we will continue,3
is no god,3
am not going,3
there are a,3
i can't i,3
you all all,3
i can give,3
my mom and,3
is just and,3
say i'm sorry,3
has given me,3
need to be,3
for loving me,3
that it was,3
my friends i,3
are murdering me,3
the lord forever,3
want to talk,3
lord jesus receive,3
the things that,3
to me and,3
runneth over surely,3
here i'm sorry,3
leadeth me beside,3
now i would,3
way and i,3
do to the,3
this lynching will,3
me to lie,3
each one of,3
all the rest,3
and i have,3
and i ask,3
waters he restoreth,3
learn to love,3
love you baby,3
i am responsible,3
i just thank,3
want to ask,3
love her too,3
if he had,3
i'm going home,3
them for the,3
i could not,3
i will take,3
am ready for,3
everything that she,3
is time to,3
have helped me,3
standing with me,3
me and you,3
not for my,3
you will be,3
i'll be waiting,3
will dwell in,3
better place i,3
do with it,3
that he was,3
my life to,3
death row to,3
sorry i know,3
continue to live,3
me for my,3
my last words,3
you be strong,3
the truth will,3
all the grief,3
goodness and mercy,3
tell my mom,3
i took a,3
we will all,3
name's sake yea,3
brothers i love,3
to you all,3
can say that,3
i had a,3
change the past,3
enemies thou anointest,3
now it is,3
you have the,3
people out there,3
i hope to,3
love each other,3
to be strong,3
all i hope,3
you i pray,3
the right thing,3
is wrong i,3
and support you,3
jesus christ is,3
and that god,3
i won't be,3
you can move,3
a moratorium on,3
to apologize and,3
in the end,3
pain and sorrow,3
sorry for everything,3
my family all,3
and you will,3
i feel sorry,3
tell all the,3
over surely goodness,3
it was just,3
the death row,3
baby i love,3
the way you,3
us our trespasses,3
love you god,3
in any way,3
out of here,3
in this country,3
you keep your,3
lord i am,3
i know where,3
unto allah i,3
will gain our,3
my lord jesus,3
is a lot,3
able to forgive,3
and it is,3
would like for,3
have been wonderful,3
think this is,3
to express my,3
the best i,3
for letting me,3
the days of,3
i hope all,3
stood by me,3
i would be,3
the person that,3
murder i am,3
each other like,3
me of my,3
stay strong you,3
for forgiveness because,3
in the paths,3
made peace with,3
thou anointest my,3
to lie down,3
of all the,3
the world i,3
trespasses as we,3
mercy shall follow,3
to god i,3
me for all,3
am sorry to,3
as for my,3
love you irene,3
support i want,3
i may be,3
lord i love,3
know you can't,3
of you who,3
for standing by,3
i am being,3
thanks for being,3
you i appreciate,3
and that you,3
going to go,3
i have never,3
for the last,3
all yes sir,3
am an innocent,3
my rights give,3
pray that the,3
the past i,3
for all your,3
know what i'm,3
there are people,3
is a tragedy,3
other like we,3
ones i love,3
of what i,3
you through all,3
and we will,3
we need to,3
that the lord,3
to my brother,3
they forgive me,3
could take it,3
his name's sake,3
what i'm saying,3
to go to,3
this brings you,3
has forgiven me,3
may not be,3
have to go,3
